;Tweets;len;ID;Created;Source;Likes;RTs
181;LSI Denny JA merilis survei simulasi capres-cawapres 2024. Duet Ganjar Pranowo dan Airlangga Hartarto tak terkalahk… https://t.co/8V4ehuKDwq;140;1579392181931892736;2022-10-10 08:43:34+00:00;Echobox;16;2
182;Lama terdiam, akhirnya Shakira buka suara usai putus dari, Gerard Pique. Ia bagikan video yang menyakitkan ini:  https://t.co/JvAcawRP28;136;1579391772895064064;2022-10-10 08:41:56+00:00;Echobox;5;2
183;"""Ya, mobil dinas itu kan merupakan hak bagi pejabat. Saya kan, sekarang anggaran mobil dinas itu ada, sesuai dengan… https://t.co/cEqdxgOho5";140;1579391248259244033;2022-10-10 08:39:51+00:00;Echobox;7;4
184;Gagal ginjal akut tak hanya dialami oleh orang dewasa saja, tetap anak-anak pun berpotensi terkena penyakit tersebu… https://t.co/y2dZA27pg7;140;1579390703452696580;2022-10-10 08:37:42+00:00;Echobox;3;3
185;Bupati Malang Sanusi menyambangi korban Tragedi Kanjuruhan, Saguwanto. Pemkab akan membebaskan biaya dan memantau p… https://t.co/7YzGN773K6;140;1579390395318177793;2022-10-10 08:36:28+00:00;Echobox;6;1
186;KY memeriksa hakim agung Sudrajad Dimyati yang kini ditahan KPK di kasus suap. Hakim Elly Tri Pangestu juga ikut di… https://t.co/3P66Gq6xu5;140;1579389736984416259;2022-10-10 08:33:51+00:00;Echobox;8;3
187;Aliran retribusi parkir ada targetnya. Kontribusinya pada PAD Pemkot Serang tidak mencapai target. Ke mana gerangan… https://t.co/xPxhHhXnkr;140;1579389708420849664;2022-10-10 08:33:44+00:00;Echobox;5;2
188;Dalam sejarah, tercatat banjir besar yang menelan ribuan korban hingga menyapu bersih suatu wilayah. Apa saja banji… https://t.co/C0VwABROCX;140;1579389409992249345;2022-10-10 08:32:33+00:00;Echobox;3;1
189;Saat ini GMF AeroAsia tengah membuka lowongan kerja untuk posisi SAP ABAP Consultant dan Aircraft Engineer A-320. B… https://t.co/Qtbm9Vjmb6;140;1579389340425547777;2022-10-10 08:32:17+00:00;Echobox;6;2
190;Tanda-tanda gangguan mental bisa diprediksi dari perubahan perilaku dan sifat seseorang. Walau terlihat lazim, kond… https://t.co/f0yLUwVUDl;140;1579389322293563393;2022-10-10 08:32:12+00:00;Echobox;1;1
191;IDAI melaporkan adanya lonjakan kasus gangguan ginjal pada anak dalam dua bulan terakhir. Mengkhawatirkan, sebab ka… https://t.co/XiYyYxH7ZS;140;1579388738144468992;2022-10-10 08:29:53+00:00;Echobox;10;3
192;Seorang mahasiswa Hubungan Internasional (HI) UGM dilaporkan terkait dugaan kekerasan seksual. Pihak Fisipol UGM pu… https://t.co/7K6bGmSdak;140;1579388606334263297;2022-10-10 08:29:22+00:00;Echobox;2;1
193;Hari Kesehatan Mental Sedunia jatuh pada hari ini, Senin (10/10). Terdapat beberapa cara untuk menjaga kesehatan me… https://t.co/6Uqw0l8wa3;140;1579388599585230849;2022-10-10 08:29:20+00:00;Echobox;9;2
194;Tanda-tanda gangguan mental bisa diprediksi dari perubahan perilaku dan sifat seseorang. Walau terlihat lazim, kond… https://t.co/D9LZka8Fcq;140;1579388433322999808;2022-10-10 08:28:40+00:00;Echobox;3;1
195;Seorang mahasiswa UGM loncat dari lantai 11. Korban ditemukan tewas setelah jatuh dari sebuah hotel di Sleman, Yogy… https://t.co/xQ2vH26bfE;140;1579388288481181696;2022-10-10 08:28:06+00:00;Echobox;7;2
196;Banyak yang mengatakan uang atau kekayaan tidak akan dibawa mati. Namun sepertinya ungkapan tersebut tidak berlaku… https://t.co/YecuwW7Uex;139;1579387828014022661;2022-10-10 08:26:16+00:00;Echobox;2;1
197;Belum banyak yang tahu, semua motor Honda yang dijual PT AHM di Indonesia boleh diberi 'minum' Pertalite, atau BBM… https://t.co/7zXnhlOzAh;139;1579387801853841408;2022-10-10 08:26:10+00:00;Echobox;4;1
198;"RT @detikoto: Surat Izin Mengemudi (SIM) Indonesia ternyata bisa loh digunakan di beberapa negara. 

Yuk simak informasi selengkapnya di #T…";140;1579387675219722241;2022-10-10 08:25:40+00:00;Twitter Web App;0;12
199;SPBU VIVO akan menjual BBM Revvo 90 saingan Pertalite. Keduanya memiliki tingkat RON yang sama, yaitu 90. Kapan aka… https://t.co/z0XF2rOTki;140;1579387260524408832;2022-10-10 08:24:01+00:00;Echobox;11;5
